OCEAN,SAMPLEID,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,FEO_TOTAL,MGO,CAO,NA2O,K2O,P2O5,MNO
Atlantic,ISL1176-058-034,-54.07,6.40,,,,,,,,,,,,,,
Atlantic,ISL1176-058-034,-54.07,6.40,46.22,0.04,2.42,,,,8.61,8.61,40.25,2.23,0.08,0.01,0.03,0.11
Atlantic,MELVULC-5-037-003,-58.43,-15.66,,,,,,,,,,,,,,
Atlantic,MELVULC-5-037-003,-58.43,-15.66,46.12,0.04,1.85,,,,9.25,9.25,41.63,0.92,0.08,0.01,0.01,0.09
Atlantic,PIL7002-023-A,10.70,-41.63,38.73,0.08,1.81,7.49,,1.35,,8.09,35.87,1.34,0.18,0.02,0.05,0.16
Atlantic,PIL7002-017-I,10.94,-43.60,41.69,0.08,2.29,4.21,,3.33,,7.12,35.19,1.71,0.28,0.06,0.09,0.11
Atlantic,PIL6707-013-F,-0.31,-18.43,42.14,0.19,4.00,5.69,,2.08,,7.20,32.15,1.49,0.41,0.08,0.07,0.17
Atlantic,DSDP037-0334-022-002/061-063,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,DSDP037-0334-022-002/061-063,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,DSDP037-0334-022-002/061-063,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,DSDP037-0334-022-002/061-063,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,DSDP037-0334-022-002/061-063,37.04,-34.41,40.99,0.05,4.13,,,,9.02,9.02,34.58,2.14,0.10,0.02,0.01,0.14
Atlantic,DSDP037-0334-022-002/070-075,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,DSDP037-0334-022-002/070-075,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,DSDP037-0334-022-002/070-075,37.04,-34.41,,,,,,,,,,,0.09,,,
Atlantic,DSDP037-0334-022-002/070-075,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,DSDP037-0334-022-002/070-075,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,DSDP037-0334-022-002/070-075,37.04,-34.41,39.96,0.07,5.15,5.22,,3.26,,8.48,33.62,3.09,,0.01,0.01,0.15
Atlantic,DSDP037-0334-022-002/070-075,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,DSDP037-0334-022-002/070-075,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,DSDP037-0334-022-002/070-075,37.04,-34.41,39.38,0.06,4.22,4.80,,4.30,8.62,8.62,32.52,3.36,0.09,,,0.13
Atlantic,DSDP037-0334-022-002/080-082,37.04,-34.41,44.85,0.07,4.79,,,,9.70,9.70,36.53,2.69,0.11,0.02,0.01,0.15
Atlantic,DSDP037-0334-022-002/080-082,37.04,-34.41,,,,,,,,,,,,,,
